Title,Brand,Screen Size,Resolution,Aspect Ratio,Rating,Price
"acer SB240Y G0bi 23.8"" IPS Full HD Ultra-Slim Edge-to-Edge Gaming Office Monitor | Adaptive-Sync Support (FreeSync Compatible) | Up to 120Hz Refresh | 1ms (VRB) | Tilt | HDMI & VGA Ports | Black",acer,23.8 Inches,FHD 1080p,16:9,4.4,94.99
"acer Nitro 31.5"" FHD 1920 x 1080 1500R Curved PC Gaming Monitor | AMD FreeSync Premium | 240Hz Refresh | 1ms VRB | VESA Mountable | HDR10 | 1 x Display Port 1.4 & 2 x HDMI 2.0 | ED320Q X2bmiipx",acer,31.5 Inches,FHD 1080p,16:9,4.6,259.99
"Acer SB272 EBI 27"" Full HD (1920 x 1080) IPS Zero-Frame Gaming Office Monitor | AMD FreeSync Technology |",acer,27 Inches,FHD 1080p,16:9,4.5,99.99
"Sceptre 30-inch Curved Gaming Monitor 21:9 2560x1080 Ultra Wide/ Slim HDMI DisplayPort up to 200Hz Build-in Speakers, Metal Black (C305B-200UN1)",Sceptre,30 Inches,FHD 1080p Ultra Wide,21:9,4.5,199.97
"SAMSUNG 32"" UJ59 Series 4K UHD (3840x2160) Computer Monitor, HDMI, Display Port, Eye Saver/Flicker Free Mode, FreeSync, LU32J590UQNXZA, Black",SAMSUNG,31.5 Inches,4K UHD 2160p,16:9,4.3,279.99
"ViewSonic VA3209M 32 Inch IPS Full HD 1080p Monitor with Frameless Design, 75 Hz, Dual Speakers, HDMI, and VGA Inputs for Home and Office,Black",ViewSonic,32 Inches,FHD 1080p,16:9,4.6,169.99
"LG UltraFine UHD 27-Inch 4K UHD 2160p Computer Monitor 27UN850-W, IPS with VESA DisplayHDR 400, AMD FreeSync, and USB-C, White,Silver",LG,27 Inches,4K UHD 2160p,16:9,4.5,299.99
"AOC C27G2Z 27"" Curved Frameless Ultra-Fast Gaming Monitor, FHD 1080p, 0.5ms 240Hz, FreeSync, HDMI/DP/VGA, Height Adjustable, 3-Year Zero Dead Pixel Guarantee, Black, Xbox PS5 Switch",AOC,27 Inches,FHD 1080p,16:9,4.6,169.99
"SAMSUNG 49"" Odyssey G93SC Series OLED Curved Gaming Monitor, 240Hz, 0.03ms, Dual QHD, DisplayHDR True Black 400, FreeSync Premium Pro, Height Adjustable Stand, LS49CG932SNXZA, 2023",SAMSUNG,49 Inches,QHD Ultra Wide 1440p,32:9,4.1,109.99
"Dell S3422DWG Curved Gaming Monitor - 34 Inch 1800R Curved Screen with 144Hz Refresh Rate, WQHD (3440 x 1440) Display, HDMI, DP to DP 1.4 Cable, AMD FreeSync - Black",Dell,34 Inches,QHD Wide 1440p,21:9,4.6,262.00
"Acer KC242Y Hbi 23.8"" Full HD (1920 x 1080) Zero-Frame Gaming Office Monitor | AMD FreeSync Technology | 100Hz | 1ms (VRB) | Low Blue Light | Tilt | HDMI & VGA Ports,Black",acer,23.8 Inches,FHD 1080p,16:9,4.4,89.99
"Sceptre 4K IPS 27"" 3840 x 2160 UHD Monitor up to 70Hz DisplayPort HDMI 99% sRGB Build-in Speakers, Black 2021 (U275W-UPT)",Sceptre,27 Inches,4K UHD 2160p,16:9,4.4,179.97
"Dell UltraSharp U2723QE 27"" 4K UHD WLED LCD Monitor - 16:9 - Black, Silver",Dell,27 Inches,4K UHD 2160p,16:9,4.4,601.99
"Acer CB272 Ebmiprx 27"" FHD 1920 x 1080 Zero Frame Home Office Monitor | AMD FreeSync | 1ms VRB | 100Hz | 99% sRGB | Height Adjustable Stand with Swivel, Tilt & Pivot (Display Port, HDMI & VGA Ports)",acer,27 Inches,FHD 1080p,16:9,4.6,129.99
"ASUS 31.5” 1080P Monitor (VA329HE) - Full HD, IPS, 75Hz, Adaptive-Sync, Eye Care, Low Blue Light, Flicker Free, HDMI, VGA, Wall Mountable, Tilt Adjustable,Black",ASUS,32 Inches,FHD 1080p,16:9,4.5,157.99
"Acer Nitro 34"" UWQHD 3440 x 1440 1500R Curved PC Gaming Monitor | AMD FreeSync Premium | Up to 180Hz Refresh | 1ms (VRB) | 400nit | DisplayHDR 400 | 1 x DP 1.4 & 2 x HDMI 2.0 | XZ342CU Vbmiiphx",acer,34 Inches,QHD Ultra Wide 1440p,21:9,4.6,299.99
"Acer Predator XB273K V3bmiiprx 27"" UHD 3840x2160 Gaming Monitor | AMD FreeSync Premium | Agile-Splendor IPS 400 | 160Hz Refresh | Up to 0.5ms | DCI-P3 95% | DisplayHDR 400 | 1 x DP 1.4 & 2 x HDMI 2.1",acer,27 Inches,4K UHD 2160p,16:9,4.4,399.99
"LG 27MP400-B 27 Inch Monitor Full HD (1920 x 1080) IPS Display with 3-Side Virtually Borderless Design, AMD FreeSync and OnScreen Control – Black",LG,27 Inches,FHD 1080p,16:9,4.5,109.99
"Teamgee Laptop Screen Extender, 14"" FHD 1080P IPS Portable Monitor for Laptop, Built-in Stand/Speaker, Dual Screen Monitor for 13""-17"" Laptops, Plug & Play Suitable for Mac, Wins, Android, Dex",Teamgee,14 Inches,FHD 1080p,16:9,4.5,185.92
"Dell 24 Monitor - P2422H - Full HD 1080p, IPS Technology, ComfortView Plus Technology",Dell,24,FHD 1080p,16:9,4.6,299.81
"LG UltraWide QHD 34-Inch Computer Monitor 34WP65C-B, VA with HDR 10 Compatibility and AMD FreeSync Premium, Black",LG,34 Inches,QHD Ultra Wide 1440p,21:9,4.6,348.95
"ViewSonic VX3276-MHD 32 Inch 1080p Widescreen IPS Monitor with Ultra-Thin Bezels, Screen Split Capability HDMI and DisplayPort",ViewSonic,32 Inches,FHD 1080p,16:9,4.6,99.99
"AOC 22B2HM2 22"" Full HD (1920 x 1080) 100Hz LED Monitor, Adaptive Sync, VGA x1, HDMI x1, Flicker-Free, Low Blue Light, HDR Ready, VESA, Tilt Adjust, Earphone Out, Eco-Friendly",AOC,21.5 Inches,FHD 1080p,16:9,4.6,64.99
"SANSUI Monitor 24 Inch 100Hz PC Monitor, HDMI VGA Ports VESA Mount, FHD Computer Monitor Ultra-Slim Ergonomic Tilt Eye Care for Home Office (ES-24F2, HDMI Cable Included)",SANSUI,24 Inches,FHD 1080p,16:9,4.3,99.99
"KYY Portable Monitor 15.6'' FHD 1080P USB C HDMI Gaming Monitor Ultra-Slim IPS Display w/Smart Cover & Speakers, Plug&Play, External Monitor for Laptop PC Phone Mac Xbox PS4",KYY,15.6 Inches,FHD 1080p,16:9,4.5,185.92
"ASUS 27 Inch Monitor - 1080P, IPS, Full HD, Frameless, 100Hz, 1ms, Adaptive-Sync, for Working and Gaming, Low Blue Light, Flicker Free, HDMI, VESA Mountable, Tilt - VA27EHF,Black",ASUS,27 Inches,FHD 1080p,16:9,4.6,99.00
"LG 32MR50C-B 32-inch FHD Curved Monitor 100Hz, AMD FreeSync, OnScreen Control, Dynamic Action Sync, Black Stabilizer, Tilt Stand (HDMI), 2023",LG,32 Inches,FHD 1080p,16:9,4.5,179.99
"ASUS TUF Gaming VG27WQ1B 27” Curved Monitor, 1440P WQHD (2560 x 1440), 165Hz (Supports 144Hz), 1ms, Adaptive-sync/FreeSync Premium, Extreme Low Motion Blur, Eye Care, HDMI DisplayPort, HDR10",ASUS,27 Inches,QHD Wide 1440p,16:9,4.6,199.00
"ASUS TUF Gaming 27” 1440P HDR Monitor (VG27AQ3A) – QHD (2560 x 1440), 180Hz, 1ms, Fast IPS, 130% sRGB, Extreme Low Motion Blur Sync, Speakers, Freesync Premium, G-SYNC Compatible, HDMI, DisplayPort",ASUS,27 Inches,QHD Wide 1440p,16:9,4.6,237.33
"Acer CB272 Ebmiprx 27"" FHD 1920 x 1080 Zero Frame Home Office Monitor | AMD FreeSync | 1ms VRB | 100Hz | 99% sRGB | Height Adjustable Stand with Swivel, Tilt & Pivot (Display Port, HDMI & VGA Ports)",acer,27 Inches,FHD 1080p,16:9,4.6,129.99
"Acer SH242Y Ebmihx 23.8"" FHD 1920x1080 Home Office Ultra-Thin IPS Computer Monitor AMD FreeSync 100Hz Zero Frame Height/Swivel/Tilt Adjustable Stand Built-in Speakers HDMI 1.4 & VGA Port",acer,23.8 Inches,FHD 1080p,16:9,4.6,99.99
"Acer KB252Q E0bi 24.5"" IPS Full HD (1920 x 1080) Zero-Frame Gaming Office Monitor AMD FreeSync Technology Up to 100Hz Refresh 1ms (VRB) Low Blue Light Tilt HDMI & VGA Ports",acer,24.5 Inches,FHD 1080p,16:9,4.6,85.99
"Acer KB252Q E0bi 24.5"" IPS Full HD (1920 x 1080) Zero-Frame Gaming Office Monitor AMD FreeSync Technology Up to 100Hz Refresh 1ms (VRB) Low Blue Light Tilt HDMI & VGA Ports",acer,24.5 Inches,FHD 1080p,16:9,4.6,85.99
"acer SB240Y G0bi 23.8"" IPS Full HD Ultra-Slim Edge-to-Edge Gaming Office Monitor | Adaptive-Sync Support (FreeSync Compatible) | Up to 120Hz Refresh | 1ms (VRB) | Tilt | HDMI & VGA Ports | Black",acer,23.8 Inches,FHD 1080p,16:9,4.4,94.99
"Acer Nitro 34"" UWQHD 3440 x 1440 1500R Curved PC Gaming Monitor | AMD FreeSync Premium | Up to 180Hz Refresh | 1ms (VRB) | 400nit | DisplayHDR 400 | 1 x DP 1.4 & 2 x HDMI 2.0 | XZ342CU Vbmiiphx",acer,34 Inches,QHD Ultra Wide 1440p,21:9,4.6,299.99
"Acer 21.5 Inch Full HD (1920 x 1080) IPS Ultra-Thin Zero Frame Computer Monitor (HDMI & VGA Port), SB220Q bi",acer,21.5 Inches,FHD 1080p,16:9,4.6,89.99
"Acer Nitro KG241Y Sbiip 23.8” Full HD (1920 x 1080) VA Gaming Monitor | AMD FreeSync Premium Technology | 165Hz Refresh Rate | 1ms (VRB) | ZeroFrame Design | 1 x Display Port 1.2 & 2 x HDMI 2.0,Black",acer,23.8 Inches,FHD 1080p,16:9,4.5,109.99
"SAMSUNG FT45 Series 24-Inch FHD 1080p Computer Monitor, 75Hz, IPS Panel, HDMI, DisplayPort, USB Hub, Height Adjustable Stand, 3 Yr WRNTY (LF24T454FQNXGO),Black",SAMSUNG,24 Inches,FHD 1080p,16:9,4.5,159.99
"ASUS TUF Gaming 27"" 1080P Monitor - Full HD, 165Hz (Supports 144Hz), 1ms, Extreme Low Motion Blur, FreeSync Premium, Shadow Boost, Eye Care, HDMI, DisplayPort, Tilt Adjustable - VG277Q1A,Black",ASUS,27 Inches,FHD 1080p,16:9,4.7,159.00
